""	"a"	"NA"	"NA"	"NA"	"año"	"Primarias"
"108"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"BANCO CORPBANCA"	"201094500"	"2009"	"No"
"109"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"CONSTANZA CECILIA FUENTES VALDES"	"50000"	"2009"	"No"
"110"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"MARIA SOLEDAD OJEDA ROJAS"	"190000"	"2009"	"No"
"111"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"SERVEL"	"3377254"	"2009"	"No"
"112"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"SERVEL"	"40725465"	"2009"	"No"
"113"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"VASCO MOULIAN HERRERA"	"1100000"	"2009"	"No"
"114"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"MONICA LISETTE VIVANCO CASTRO"	"50000"	"2009"	"No"
"115"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"SERVEL"	"34114"	"2009"	"No"
"116"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"PATRICIO DANIEL NAVIA LUCERO"	"1e+06"	"2009"	"No"
"117"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"STEPHAN HENRY CORREA VALDERRAMA"	"60000"	"2009"	"No"
"118"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"INGRID JASMINE ROJAS ZUNIGA"	"50000"	"2009"	"No"
"119"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"SERVEL"	"23061"	"2009"	"No"
"120"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"MARCELA ALEJANDRA ABARCA VALLADARES"	"60000"	"2009"	"No"
"121"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"SERVEL"	"8763096"	"2009"	"No"
"122"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"FELIPE IGNACIO GOMEZ GONZALEZ"	"60000"	"2009"	"No"
"123"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"SERVEL"	"14400000"	"2009"	"No"
"124"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"BANCO CORPBANCA"	"200800000"	"2009"	"No"
"125"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"VARIOS ANONIMOS"	"249570440"	"2009"	"No"
"126"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"YERESIA CAROLINA SALDANA FAUNDEZ"	"60000"	"2009"	"No"
"127"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"BANCO CORPBANCA"	"3657239"	"2009"	"No"
"128"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"SERVEL"	"51850755"	"2009"	"No"
"129"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"KAREN FABIOLA DELGADO SALDANA"	"60000"	"2009"	"No"
"130"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"ISABEL DE LAS MERCED ORTIZ CACERES"	"90000"	"2009"	"No"
"131"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	NA	"273449265"	"2009"	"No"
