,Unnamed: 0,Nombre,URL Imagen,URL Imagen Pacto,Distrito,Partido,Pacto,Resumen,Links,Facebook,Instagram,Twitter,Imagen Github,Imagen Partido Github
33,33,Sheila Marianella Sanchez Copaja,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 1,Independiente,Apruebo Dignidad,Aún Sheila Marianella Sanchez Copaja no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Sheila Marianella Sanchez Copaja.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
34,34,Valentina Paz Albarracin Gonzalez,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1611885001.png,Distrito 1,Partido De Trabajadores Revolucionarios,Partido De Trabajadores Revolucionarios,Aún Valentina Paz Albarracin Gonzalez no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Valentina Paz Albarracin Gonzalez.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Partido De Trabajadores Revolucionarios.png
35,35,Valerio Patricio CaÑipa Tarque,https://quienesson.cl/assets/images/candidatos/1611278004.jpg,https://quienesson.cl/assets/images/pactos/pacto_1610862189.png,Distrito 1,Unión Demócrata Independiente,Vamos Por Chile,Aún Valerio Patricio CaÑipa Tarque no nos entrega información sobre su candidatura.,Estamos actualizando la información,https://www.facebook.com/valeriopatricio.canipatarque,Sin instagram,https://twitter.com/CanipaValerio,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Valerio Patricio CaÑipa Tarque.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Unión Demócrata Independiente.png
36,36,Willi Hans Zuchel Balcarce,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 1,Independiente,Arica Siempre Arica,Aún Willi Hans Zuchel Balcarce no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Willi Hans Zuchel Balcarce.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
37,37,Yarllette Isabel Marambio Flor,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 1,Independiente,Súmate Ahora,Aún Yarllette Isabel Marambio Flor no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Yarllette Isabel Marambio Flor.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
38,38,Alejandra Alicia Flores Carlos,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 2,Independiente,Independientes De Tarapacá,Aún Alejandra Alicia Flores Carlos no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Alejandra Alicia Flores Carlos.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
39,39,Alejandra Marjorie Ceballos Rojas,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610856958.png,Distrito 2,Comunes,Apruebo Dignidad,Aún Alejandra Marjorie Ceballos Rojas no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Alejandra Marjorie Ceballos Rojas.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Comunes.png
40,40,Alex Patricio Adasme Cadiz,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 2,Independiente,Lista del Apruebo,Aún Alex Patricio Adasme Cadiz no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Alex Patricio Adasme Cadiz.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
41,41,Alvaro Jofre Caceres,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610862157.png,Distrito 2,Renovación Nacional,Vamos Por Chile,Aún Alvaro Jofre Caceres no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Alvaro Jofre Caceres.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Renovación Nacional.png
42,42,Ana MarÍa Luksic Romero,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610862344.png,Distrito 2,Democracia Cristiana,Lista del Apruebo,Aún Ana MarÍa Luksic Romero no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Ana MarÍa Luksic Romero.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Democracia Cristiana.png
43,43,Camila Paz Castillo Guerrero,https://quienesson.cl/assets/images/candidatos/1611353343.jpg,https://quienesson.cl/assets/images/pactos/pacto_1610862093.png,Distrito 2,Revolución Democrática,Apruebo Dignidad,,Estamos actualizando la información,Sin facebook,https://www.instagram.com/camila.castillo.g/,https://twitter.com/camicastillo90,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Camila Paz Castillo Guerrero.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Revolución Democrática.png
44,44,Carla Veronica Alexandra Bruna Araneda,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 2,Independiente,Autonomía Social y Sindical Tarapacá,Aún Carla Veronica Alexandra Bruna Araneda no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Carla Veronica Alexandra Bruna Araneda.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
45,45,Carlos Patricio Urra Raddatz,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 2,Independiente,Independientes De Tarapacá,Aún Carlos Patricio Urra Raddatz no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Carlos Patricio Urra Raddatz.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
46,46,Carolina Elizabeth Monje San Martin,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 2,Independiente,Cabildos Autoconvocados,Aún Carolina Elizabeth Monje San Martin no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Carolina Elizabeth Monje San Martin.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
